"Estado","Município","codmun","respiradores","leitos_covid","leitos_covid_uti","ocupacao_covid","ocupacao_covid_uti"
"AL","Campo Alegre",2701407,0,0,0,17,0
"AL","Maceió",2704302,13,0,14,12,11
"AL","Santana do Ipanema",2708006,14,2,1,4,1
"AM","Atalaia do Norte",1300201,0,0,0,4,0
"AM","Carauari",1301001,1,0,0,0,0
"AM","Guajará",1301654,0,0,0,0,0
"AM","Manaus",1302603,72,0,0,8,0
"BA","Barra do Choça",2902906,0,0,0,0,0
"BA","Barreiras",2903201,70,0,0,12,3
"BA","Carinhanha",2907103,1,0,0,0,0
"BA","Feira de Santana",2910800,79,0,0,5,2
"BA","Guanambi",2911709,1,0,0,0,0
"BA","Ilhéus",2913606,13,0,0,7,3
"BA","Irecê",2914604,36,0,0,0,3
"BA","Itabuna",2914802,8,0,0,9,7
"BA","Iuiu",2917334,0,0,0,0,0
"BA","Jequié",2918001,15,0,0,13,14
"BA","Malhada",2920205,0,0,0,0,0
"BA","Matina",2921054,0,0,0,0,0
"BA","Palmas de Monte Alto",2923407,0,0,0,0,0
"BA","Paulo Afonso",2924009,2,0,0,5,0
"BA","Pindaí",2924504,1,0,0,0,0
"BA","Piripá",2924702,0,0,0,0,0
"BA","Remanso",2926004,1,0,0,2,5
"BA","Rio de Contas",2926707,0,0,0,0,0
"BA","Salvador",2927408,236,130,108,241,125
"BA","Santa Rita de Cássia",2928406,2,0,0,1,0
"BA","Sebastião Laranjeiras",2930006,0,0,0,0,0
"BA","Serrinha",2930501,0,0,0,0,0
"BA","Urandi",2932606,1,0,0,1,0
"BA","Utinga",2932804,1,0,0,0,0
"CE","Alto Santo",2300705,0,6,0,2,0
"CE","Barreira",2301950,1,0,0,1,0
"CE","Brejo Santo",2302503,1,34,7,0,6
"CE","Cedro",2303808,0,12,0,1,0
"CE","Crateús",2304103,2,46,10,31,9
"CE","Farias Brito",2304301,1,12,0,0,0
"CE","Fortaleza",2304400,86,0,0,181,107
"CE","Hidrolândia",2305209,0,0,0,0,0
"CE","Jati",2307205,0,7,0,0,0
"CE","Limoeiro do Norte",2307601,1,0,0,12,8
"CE","Umari",2313708,0,21,0,0,0
"ES","Afonso Cláudio",3200102,1,0,0,2,0
"ES","Iúna",3203007,3,0,0,1,0
"ES","Muniz Freire",3203700,1,0,0,1,0
"ES","Santa Maria de Jetibá",3204559,5,0,0,3,0
"ES","Vitória",3205309,111,0,0,34,32
"GO","Acreúna",5200134,2,0,0,0,0
"GO","Americano do Brasil",5200852,0,0,0,0,0
"GO","Aparecida de Goiânia",5201405,16,0,5,0,1
"GO","Britânia",5203807,0,0,0,0,0
"GO","Campo Alegre de Goiás",5204805,1,0,0,0,0
"GO","Catalão",5205109,12,0,0,0,0
"GO","Chapadão do Céu",5205471,0,0,0,0,0
"GO","Córrego do Ouro",5205703,1,0,0,0,0
"GO","Corumbaíba",5205901,1,0,0,0,0
"GO","Crixás",5206404,0,0,0,0,0
"GO","Firminópolis",5207808,1,0,0,0,0
"GO","Goiânia",5208707,172,40,70,28,43
"GO","Itajá",5210802,0,0,0,0,0
"GO","Jandaia",5211701,1,0,0,0,0
"GO","Jaraguá",5211800,1,0,0,0,0
"GO","Maurilândia",5213004,0,0,0,0,0
"GO","Minaçu",5213087,5,0,0,0,0
"GO","Montividiu",5213756,1,0,0,1,0
"GO","Ouvidor",5215504,0,0,0,0,0
"GO","Trindade",5221403,12,0,6,2,1
"GO","Turvelândia",5221551,0,0,0,0,0
"MA","Colinas",2103505,3,0,0,0,0
"MA","Imperatriz",2105302,10,44,30,62,25
"MA","Sucupira do Riachão",2111953,0,0,0,0,0
"MG","Araxá",3104007,10,57,14,5,3
"MG","Arceburgo",3104106,1,0,0,0,0
"MG","Ataléia",3104700,1,0,0,0,0
"MG","Bambuí",3105103,3,0,0,0,0
"MG","Barbacena",3105608,79,32,31,5,6
"MG","Barroso",3105905,2,14,0,0,0
"MG","Belo Horizonte",3106200,192,185,36,56,26
"MG","Betim",3106705,73,50,50,0,37
"MG","Campo do Meio",3111309,1,0,0,0,0
"MG","Capitólio",3112802,1,0,0,0,0
"MG","Caratinga",3113404,11,13,0,0,0
"MG","Cláudio",3116605,2,0,0,0,0
"MG","Coração de Jesus",3118809,1,0,0,0,0
"MG","Cruzília",3120805,1,16,0,0,0
"MG","Entre Rios de Minas",3123908,2,0,0,0,0
"MG","Ervália",3124005,2,10,0,0,0
"MG","Esmeraldas",3124104,2,0,0,0,1
"MG","Governador Valadares",3127701,15,0,0,0,0
"MG","Gurinhatã",3129103,1,0,0,0,0
"MG","Itabira",3131703,15,51,12,0,0
"MG","Itaguara",3132206,0,0,0,2,0
"MG","Itajubá",3132404,9,10,1,2,6
"MG","Itapecerica",3133501,2,0,0,0,0
"MG","Janaúba",3135100,16,46,5,2,1
"MG","Juiz de Fora",3136702,67,40,5,11,2
"MG","Ladainha",3137007,0,0,0,0,0
"MG","Leopoldina",3138401,8,10,5,2,4
"MG","Machacalis",3138906,1,0,0,0,0
"MG","Manhuaçu",3139409,14,50,10,2,9
"MG","Mariana",3140001,3,10,0,0,0
"MG","Mercês",3141603,0,0,0,0,0
"MG","Miraí",3142205,0,0,0,0,0
"MG","Montes Claros",3143302,74,96,36,1,3
"MG","Muriaé",3143906,9,0,0,0,0
"MG","Muzambinho",3144102,1,0,0,1,0
